sample,qc_param,qc_flag,plutoF_data,gsheets_data
ARMS_BelgiumCoast_AJJCD89_20210225_20210819_MF500,preservative+fraction+filter,couldn't be checked due to missing data in plutoF or gsheets,,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH,event_id,fail,ARMS_BelgiumCoast_AZFPin_20180712_20180818,ARMS_BelgianCoast_AZFPin_20180712_20180818
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH,preservative,present in plutoF sample id,,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH,preservative+fraction+filter,couldn't be checked due to missing data in plutoF or gsheets,,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF200_ETOH,event_id,fail,ARMS_BelgiumCoast_AZFPin_20180712_20180818,ARMS_BelgianCoast_AZFPin_20180712_20180818
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF200_ETOH,preservative,present in plutoF sample id,,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF200_ETOH,preservative+fraction+filter,couldn't be checked due to missing data in plutoF or gsheets,,
ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309_SF40,event_id,pass,,
ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309_SF40,preservative,not present in plutoF sample id,,
ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309_SF40,preservative+fraction+filter,couldn't be checked due to missing data in plutoF or gsheets,,
ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309_MF100,event_id,pass,,
ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309_MF100,preservative,not present in plutoF sample id,,
ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309_MF100,preservative+fraction+filter,couldn't be checked due to missing data in plutoF or gsheets,,
ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309_MF500,event_id,pass,,
ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309_MF500,preservative,not present in plutoF sample id,,
ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309_MF500,preservative+fraction+filter,couldn't be checked due to missing data in plutoF or gsheets,,
EMOBON_BelgiumCoast_CPOWERB_20210623_20220622_SF40_C,arms_id,fail,EMOBON_BelgiumCoast_CPOWERB_20210623_20220622_SF40_C,not found
EMOBON_BelgiumCoast_CPOWERB_20210623_20220622_MF100_A,arms_id,fail,EMOBON_BelgiumCoast_CPOWERB_20210623_20220622_MF100_A,not found
EMOBON_BelgiumCoast_CPOWERB_20210623_20220622_SF40_A,arms_id,fail,EMOBON_BelgiumCoast_CPOWERB_20210623_20220622_SF40_A,not found
EMOBON_BelgiumCoast_CPOWERB_20210623_20220622_SF40_B,arms_id,fail,EMOBON_BelgiumCoast_CPOWERB_20210623_20220622_SF40_B,not found
EMOBON_BelgiumCoast_CPOWERB_20210623_20220622_MF100_B,arms_id,fail,EMOBON_BelgiumCoast_CPOWERB_20210623_20220622_MF100_B,not found
EMOBON_BelgiumCoast_CPOWERB_20210623_20220622_MF500_A,arms_id,fail,EMOBON_BelgiumCoast_CPOWERB_20210623_20220622_MF500_A,not found
EMOBON_BelgiumCoast_CPOWERB_20210623_20220622_MF500_B,arms_id,fail,EMOBON_BelgiumCoast_CPOWERB_20210623_20220622_MF500_B,not found
